Member,Owner
"dfmedeiros/trellando,djalmaaraujo/socketrace","luiztiago/android-watchlist,luiztiago/bada-photoclown,luiztiago/bada-watchlist,luiztiago/bootstraptherightway,luiztiago/braziljs.org,luiztiago/cowdown,luiztiago/cryptfy,luiztiago/diveintohtml5,luiztiago/dotfiles,luiztiago/dotfiles-old,luiztiago/easy-admin-bundle,luiztiago/facebook-image-element,luiztiago/fake-flash-to-html5,luiztiago/FastGap,luiztiago/fear-ant,luiztiago/FlashAlertBundle,luiztiago/flexmobile-watchlist,luiztiago/frontinrecife,luiztiago/generator-webapp,luiztiago/google-slides-to-pdf,luiztiago/html5-notifications,luiztiago/idiomatic-css,luiztiago/ios-books,luiztiago/ios-TransitoRec,luiztiago/jquery-mentions-input,luiztiago/jquery-timeago,luiztiago/jquery-yql,luiztiago/js-the-right-way,luiztiago/jsx-test,luiztiago/keynote-jquerymobile,luiztiago/luiztiago.github.com,luiztiago/mac-automators,luiztiago/markdown.cc,luiztiago/morethings.io,luiztiago/netcompact-forca,luiztiago/njsbot,luiztiago/node-easycep,luiztiago/node-gtalk-bot,luiztiago/percepcoes,luiztiago/persistent-command-bundle,luiztiago/pull-request-trello,luiztiago/RestProject,luiztiago/shell-scripts,luiztiago/site,luiztiago/snooker.live,luiztiago/so-simple-theme,luiztiago/spice.js,luiztiago/spotify-playlist-downloader,luiztiago/start-html,luiztiago/sublimetext2-settings,luiztiago/talks,luiztiago/tcc-web_mobile_vs_native,luiztiago/test-post-receive-hooks,luiztiago/testing-gh-pages,luiztiago/zepto-br"
,"ac-pm/CertPinning,ac-pm/for-tests,ac-pm/Inspeckage,ac-pm/Introspy-Android,ac-pm/ProxyOn,ac-pm/SSLUnpinning_Cydia,ac-pm/SSLUnpinning_Xposed"
"curso-scm/scm,rafaelbrandao/deadlock-exception-paper,rafaelbrandao/java-lock-deadlock-exception,RafaelMarinheiro/ZergScheme","fernandocastor/5linguagens,fernandocastor/aulas_floss,fernandocastor/epic-java,fernandocastor/etepam,fernandocastor/fernandocastor.github.io,fernandocastor/github,fernandocastor/Homepwner,fernandocastor/hypnosister,fernandocastor/if668,fernandocastor/if668_2018_1,fernandocastor/if968,fernandocastor/memorial-progressao-ufpe,fernandocastor/metricgenerator-jdk-compiler,fernandocastor/pongfortwo,fernandocastor/pp,fernandocastor/quallinguagem,fernandocastor/sat,fernandocastor/SillyShapes,fernandocastor/SkimJS,fernandocastor/skimscheme,fernandocastor/small,fernandocastor/software_livre,fernandocastor/swift,fernandocastor/swift-style-guide,fernandocastor/taes1,fernandocastor/talk_a_bit,fernandocastor/ufpe_cin_safeproject"
"brunabaudel/taste,guedesbgeorge/IF1006-Projeto,JoaoSant0s/gestaoAtletas,JoaoSant0s/redu,rodrigoalvesvieira/algorithms,tiagojesus/LegoRoversUI,tomersimis/rgms,xulepeta/xulepeta.github.io","henvic/2016-talks,henvic/accidents,henvic/alloy-ui,henvic/android-Camera2Basic,henvic/android-Camera2Video,henvic/angularjs-facebook,henvic/api.js,henvic/awesome,henvic/awesome-go,henvic/awless,henvic/babel-preset-metal,henvic/back,henvic/birthday,henvic/boilerplate-hosting,henvic/bootstrap,henvic/bootstrap-colorpicker,henvic/bootstrap-wysiwyg,henvic/bower-directory,henvic/browser,henvic/cli,henvic/closure-library,henvic/cmdrunner,henvic/cocoa_gist,henvic/color,henvic/colors-asm,henvic/customelements.io,henvic/defective,henvic/dep,henvic/docker,henvic/dotfiles,henvic/elasticsearch-action-updatebyquery,henvic/embroidery,henvic/equinox,henvic/express,henvic/Flat-UI,henvic/GA,henvic/gemcutter,henvic/gh,henvic/gh-boilerplate,henvic/gh-gif,henvic/gh-jira,henvic/gh-travis,henvic/glide,henvic/go,henvic/go-get-issue-14923.go,henvic/go-git-ignore,henvic/go-ipfs,henvic/go-wordwrap,henvic/gobyexample,henvic/gogoa,henvic/goterm,henvic/grunt-cli-config,henvic/gulp-jshint,henvic/gulp-metal,henvic/hackathon-2014,henvic/henvic,henvic/henvic.github.io,henvic/holiday_card_Jan_2017,henvic/Imagine,henvic/ini,henvic/insight,henvic/inventory-control,henvic/ipfs,henvic/Jcrop,henvic/jquery-maskmoney,henvic/jquery-miniColors,henvic/jQuery.fn.autoResize,henvic/LegoRoversUI,henvic/liferay-portal,henvic/list,henvic/logics-evaluator,henvic/magicmime,henvic/mapstructure,henvic/mct,henvic/MediaLab,henvic/metal-ajax,henvic/metal-promise,henvic/metal.js,henvic/mit-license,henvic/msl,henvic/multimedia,henvic/my-intellij-liferay-conf,henvic/node-101,henvic/node-elasticsearch-thrift,henvic/node-gearman,henvic/node-github,henvic/node-jira,henvic/node-static,henvic/node-suppose,henvic/nodegit,henvic/opencv,henvic/OpenRedu,henvic/osx-ulimit,henvic/package_control_channel,henvic/pb,henvic/phantom-casper-simple-talk,henvic/php-src,henvic/picel,henvic/picel-js,henvic/plc,henvic/polymer,henvic/processinho,henvic/programming-101,henvic/prompt,henvic/pseudoterm,henvic/pty,henvic/r.js,henvic/rcarweb,henvic/redu-specs,henvic/require-time,henvic/ResponsiveMultiLevelMenu,henvic/resultsevaluation,henvic/senna,henvic/SkimJS,henvic/sling,henvic/social-network,henvic/socketio-talk,henvic/socketrace,henvic/spawn-sync,henvic/sqlstruct,henvic/statistics,henvic/taia,henvic/testing,henvic/tests-pr-to-org,henvic/thin.gs,henvic/ToggleExclude,henvic/tracking.js,henvic/tus-resumable-upload-protocol,henvic/uilive,henvic/uiprogress,henvic/vehikel,henvic/vehikel-providers,henvic/vendorlicenses,henvic/visual-recognition-nodejs,henvic/wedeploy.com,henvic/write-in-go,henvic/yogi,henvic/yui3,henvic/zend-form-decorators-bootstrap,henvic/zf2,henvic/zoom"
"all-animation/all-animation,cirocosta/sample-wechat,fernandosouza/femugpe,heytorthompson/financeiro,heytorthompson/projetovidadigital,julien/metal-clay-components,liferay-labs-br/clay,liferay-labs-br/fiber,liferay-labs-br/forms-report-project,liferay-labs-br/liferay-forms-chart-generator,liferay-labs-br/metal-playground,liferay-labs-br/who-next,pedroqueiroz/liferay-portal,rafaprax/liferay-portal,tylerwonglr/we-p5,victorpluna/oferclub,Webschool-io/CSS-Animations","clovisdasilvaneto/adesivos,clovisdasilvaneto/all-animation,clovisdasilvaneto/all-animation-1,clovisdasilvaneto/alloy-editor,clovisdasilvaneto/alloy-ui,clovisdasilvaneto/alloyeditor.com,clovisdasilvaneto/Angular-2-Controle-de-Gastos-,clovisdasilvaneto/asa,clovisdasilvaneto/atomic-docs,clovisdasilvaneto/babel-plugin-yui3,clovisdasilvaneto/blJs,clovisdasilvaneto/blog,clovisdasilvaneto/boilerplate-auth,clovisdasilvaneto/boilerplate-hosting,clovisdasilvaneto/boilerplate-nodejs,clovisdasilvaneto/bootstrap-datepicker,clovisdasilvaneto/Bot-Telegram-BeMEAN,clovisdasilvaneto/CKEditor-WordCount-Plugin,clovisdasilvaneto/clay,clovisdasilvaneto/clockin,clovisdasilvaneto/clovisdasilvaneto.github.io,clovisdasilvaneto/CodeMirror,clovisdasilvaneto/com-liferay-dynamic-data-mapping,clovisdasilvaneto/com-liferay-portal-workflow,clovisdasilvaneto/countUp.js,clovisdasilvaneto/css-brasil,clovisdasilvaneto/css-loader,clovisdasilvaneto/csshortcut.github.io,clovisdasilvaneto/CsSocker,clovisdasilvaneto/CurriculoOnline-v2.0,clovisdasilvaneto/dropbox-sdk-js,clovisdasilvaneto/electric,clovisdasilvaneto/epihack,clovisdasilvaneto/fadein-fadeout-com-javascript-puro,clovisdasilvaneto/FEMUG-PE-FORM,clovisdasilvaneto/fiber,clovisdasilvaneto/fiber-example,clovisdasilvaneto/FirstCurriculoOnline,clovisdasilvaneto/flux-redux,clovisdasilvaneto/generator-ionic,clovisdasilvaneto/git-terminal-reports,clovisdasilvaneto/githubapp-native,clovisdasilvaneto/gulp-soynode,clovisdasilvaneto/IdiomaticReact,clovisdasilvaneto/iniciantes,clovisdasilvaneto/inlocomediateste,clovisdasilvaneto/jQuery-Knob,clovisdasilvaneto/Liferay-AMD-Module-Example,clovisdasilvaneto/Liferay-Angular-Single-Portlet,clovisdasilvaneto/Liferay-AngularJs-Theme,clovisdasilvaneto/liferay-binaries-cache-2017,clovisdasilvaneto/liferay-forms-chart-generator,clovisdasilvaneto/Liferay-GS-BR-FrontEnd-Wiki,clovisdasilvaneto/liferay-portal,clovisdasilvaneto/liferay-theme-samples,clovisdasilvaneto/limitslider,clovisdasilvaneto/Lists-js,clovisdasilvaneto/machine-learning-python-study,clovisdasilvaneto/machine-leraning-javascript-study,clovisdasilvaneto/marblecss.com,clovisdasilvaneto/mean-livro-codigo,clovisdasilvaneto/messenger-bot-tutorial,clovisdasilvaneto/metal-banco-crt,clovisdasilvaneto/metal-jsx-boilerplate,clovisdasilvaneto/metal-list,clovisdasilvaneto/metal-select,clovisdasilvaneto/metal.js,clovisdasilvaneto/metaljs.com,clovisdasilvaneto/my-virtual-assistant,clovisdasilvaneto/ng-file-upload,clovisdasilvaneto/open-source-boilerplate,clovisdasilvaneto/Plugin-Clovis-Carrosel,clovisdasilvaneto/PluginMotherFucky,clovisdasilvaneto/polymer,clovisdasilvaneto/polymer-1,clovisdasilvaneto/portaldopido,clovisdasilvaneto/project-boilerplate,clovisdasilvaneto/projeto-mean,clovisdasilvaneto/pure-spa,clovisdasilvaneto/qualiti,clovisdasilvaneto/react-github-api,clovisdasilvaneto/react-redux-boilerplate,clovisdasilvaneto/reveal.js-plugins,clovisdasilvaneto/RodaFucky,clovisdasilvaneto/roundabout,clovisdasilvaneto/router,clovisdasilvaneto/sample-wechat,clovisdasilvaneto/slide-com-javascript-puro,clovisdasilvaneto/snooper,clovisdasilvaneto/soy-cheat-sheet,clovisdasilvaneto/speechRecognition,clovisdasilvaneto/superplaceholder.js,clovisdasilvaneto/talk-nodebots,clovisdasilvaneto/telegram-bot-webhook,clovisdasilvaneto/temporario,clovisdasilvaneto/tensorflow,clovisdasilvaneto/twit,clovisdasilvaneto/virtual-dom-study,clovisdasilvaneto/wedeploy-form-search,clovisdasilvaneto/wintersmith,clovisdasilvaneto/ZoologicoDoTico"
"SpiderLabs/ModSecurity-log-utilities,SpiderLabs/ModSecurity-Python-bindings","zimmerle/abel,zimmerle/airprobe,zimmerle/airprobe-gprs,zimmerle/android_device_samsung_i9300,zimmerle/angular2-oauth2,zimmerle/buildbot,zimmerle/cell-locator,zimmerle/codejudge,zimmerle/Cura,zimmerle/DBusPerformance,zimmerle/fpga-miner,zimmerle/gnuradio,zimmerle/GSM-Shark,zimmerle/gsmdog,zimmerle/gsmmap-mobile,zimmerle/httperf,zimmerle/kalibrate-uhd,zimmerle/libinjection,zimmerle/minimal,zimmerle/miniminer,zimmerle/modsec-sdbm,zimmerle/ModSecurity,zimmerle/ModSecurity-heartbeat,zimmerle/ModSecurityEsper,zimmerle/mWall,zimmerle/nightminer,zimmerle/omniauth-identity,zimmerle/osmocombb,zimmerle/owasp-modsecurity-crs,zimmerle/qgroundcontrol,zimmerle/SimpleJavaScriptBuildBotStatus,zimmerle/test,zimmerle/u-boot,zimmerle/UHD-Mirror,zimmerle/wrk,zimmerle/zxing-cpp"
dudurocha/hackernewsbr,"fjsj/1001,fjsj/arrow,fjsj/awesome-static-analysis,fjsj/BezierWarping,fjsj/bikeapi,fjsj/bitsontherun-downloader,fjsj/CamelCaseRepo,fjsj/celery,fjsj/check-all-the-things,fjsj/chef-django-ubuntu,fjsj/compression-counter,fjsj/cookbook-postgresql-9.2,fjsj/django-allauth,fjsj/django-app-metrics,fjsj/django-bootstrap-base,fjsj/django-example,fjsj/django-fernet-fields,fjsj/django-inlinecss,fjsj/django-precompressed,fjsj/django-rest-framework,fjsj/django-sample,fjsj/django-templated-email,fjsj/envirius,fjsj/epona,fjsj/evee,fjsj/facebook-android-sdk,fjsj/facebook-puzzles,fjsj/fjsj.github.io,fjsj/frontend-dev-bookmarks,fjsj/fuzzywuzzy,fjsj/gae_memoize,fjsj/heroku-django-template,fjsj/jquery-maskmoney,fjsj/jquery.maskedinput,fjsj/jsdelivr,fjsj/jslinux-deobfuscated,fjsj/leaderboard-mocha,fjsj/liveservererror,fjsj/meteor-leaflet,fjsj/Minesweeper.scala,fjsj/mist,fjsj/node-heroku-hello,fjsj/PerformanceEngine,fjsj/programming-challenges,fjsj/projects-screenshots,fjsj/protestapp,fjsj/py-must-watch,fjsj/pybay,fjsj/python-cookbook,fjsj/python-sdk,fjsj/python-social-auth,fjsj/quiz,fjsj/QuizDSL,fjsj/redis-simple-cache,fjsj/requests,fjsj/retry_on_exceptions,fjsj/stack-lang,fjsj/statsd-postgres-vm,fjsj/StudentTestsDSL,fjsj/tapioca-wrapper,fjsj/test-bsd,fjsj/testtestcinnamon,fjsj/tg,fjsj/tornado_api_mixins,fjsj/tsuru,fjsj/twitter_monitor,fjsj/ukechords,fjsj/Unknown6,fjsj/urlfetch_cached,fjsj/What-HN-says"
"AJS99/caderno-online,AJS99/caderno-online-android,brenopolanski/notifier-for-udacity-reviewer,misawsneto/trixdocs,misawsneto/wordrails,raafaelima/udacity-reviews-list,xarx-co/trix-angular.js,xarx-co/trix-java,xarx-co/trix.js,xarx-co/wp-trix","adrielcafe/adriel.cafe,adrielcafe/adrielcafe.github.io,adrielcafe/android-oauth-handler,adrielcafe/android-tagview,adrielcafe/AndroidAudioConverter,adrielcafe/AndroidAudioRecorder,adrielcafe/AndroidOAuth,adrielcafe/AndroidStreamable,adrielcafe/awesome-css,adrielcafe/awesome-kotlin,adrielcafe/AztecEditor-Android,adrielcafe/BeMyEyesXamarinApp,adrielcafe/ColorPicker,adrielcafe/ConfigUtil,adrielcafe/CropImageView,adrielcafe/cryp-website,adrielcafe/CrypAndroidApp,adrielcafe/CryptoUtil,adrielcafe/DBPA,adrielcafe/DCxMarvel-Card-Game,adrielcafe/DicInfo,adrielcafe/DissertacaoDeMestrado,adrielcafe/DL2SPARQL-DL,adrielcafe/DueloDeMatematica,adrielcafe/FarolAlto,adrielcafe/fastlane,adrielcafe/ffmpeg-android-java,adrielcafe/FrescoImageViewer,adrielcafe/GryphonFramework,adrielcafe/GuiaServicosSP,adrielcafe/KBus,adrielcafe/LifeBand,adrielcafe/MaterialIntroView,adrielcafe/MessagesAndroidApp,adrielcafe/MinhaEscola,adrielcafe/mixpanel-android,adrielcafe/Monetae,adrielcafe/moneywagon,adrielcafe/MoovAndroidApp,adrielcafe/NHibernateUtil,adrielcafe/NMG,adrielcafe/NMSAlphabetAndroidApp,adrielcafe/NMSAlphabetServer,adrielcafe/NMSAlphabetWeb,adrielcafe/normalize.css,adrielcafe/Ouvidoria2.0,adrielcafe/PedaladaSegura,adrielcafe/PlanetaSustentavel,adrielcafe/PlaystationTrophiesConceptApp,adrielcafe/ReadnBuyAndroidApp,adrielcafe/RecifeBomDeBola,adrielcafe/responsive-headings.css,adrielcafe/ReviewIt,adrielcafe/S-Task,adrielcafe/Scryp,adrielcafe/socialauth,adrielcafe/trix2,adrielcafe/TRIXDocsTemplate,adrielcafe/TTS-Translator-FFOS,adrielcafe/UdacityBuildItBigger,adrielcafe/UdacityMyAppPortfolio,adrielcafe/UdacityPopularMovies,adrielcafe/UdacityStockHawk,adrielcafe/VacinaRecife,adrielcafe/VaiChoverRecife,adrielcafe/VoxRecorderAndroidApp,adrielcafe/YodelAndroidApp"
"dojodocirculo/dojodocirculo.github.io,Tiago-Lira/tapioca_cartola","arthuralvim/airflow-stack,arthuralvim/ansible-project-template,arthuralvim/arthuralvim.github.io,arthuralvim/assyd,arthuralvim/br-atlas,arthuralvim/cv,arthuralvim/dataenc,arthuralvim/django-app-template,arthuralvim/django-gevsckio-example,arthuralvim/django-nose,arthuralvim/django-project-template,arthuralvim/django-reversion-example,arthuralvim/docker-ubuntu-dev,arthuralvim/docker-ubuntu-ssh,arthuralvim/dotfiles,arthuralvim/elk-stack,arthuralvim/flask-project-template,arthuralvim/folium,arthuralvim/frontend-project-template,arthuralvim/incubator-airflow,arthuralvim/jekyll-project-template,arthuralvim/jiraya,arthuralvim/loafer,arthuralvim/monitor-error-server,arthuralvim/monitor-riemann-server,arthuralvim/mutirao_python_aula_rpy,arthuralvim/ninhodascobras,arthuralvim/palestra_pug_gerenciamento_arquivos,arthuralvim/palestra_pug_scrapy,arthuralvim/python-database-url,arthuralvim/python-project-template,arthuralvim/relampago_pug_download_media,arthuralvim/rig-stack,arthuralvim/scrapy-project-template,arthuralvim/sentry-stack,arthuralvim/SublimeDjangoTest,arthuralvim/tapioca-wrapper,arthuralvim/todo,arthuralvim/tutorial-sqlalchemy,arthuralvim/tutorial_aws_python,arthuralvim/twitter-bootstrap-samples,arthuralvim/UFPEThesis"
"jonathanslima/flexbox-training,tuliocrr/indicadores","talitaoliveira/33DiasSemMachismo,talitaoliveira/angular-burguer,talitaoliveira/apenas-crie-websites,talitaoliveira/api-rest-lumen,talitaoliveira/approachable-io,talitaoliveira/aprendendo_ruby_blog,talitaoliveira/be-mean-instagram,talitaoliveira/be-mean-instagram-mongodb-excercises,talitaoliveira/be-mean-modulo-mongodb,talitaoliveira/cakephp,talitaoliveira/challenge-accepted,talitaoliveira/cidades-estados-brasil,talitaoliveira/code-style-guide,talitaoliveira/crud_cakephp,talitaoliveira/css-components,talitaoliveira/curso-mean,talitaoliveira/drawing-board,talitaoliveira/dwa-burgular,talitaoliveira/dwa-projeto-site,talitaoliveira/es6,talitaoliveira/FEMUGPE,talitaoliveira/first,talitaoliveira/free-courses,talitaoliveira/frontend-basics,talitaoliveira/gastadora,talitaoliveira/git-basic,talitaoliveira/gulp-training,talitaoliveira/Hacktoberfest-PR,talitaoliveira/ionic-studies,talitaoliveira/jogo-da-velha_js,talitaoliveira/js30,talitaoliveira/JSbooks,talitaoliveira/logica-de-programacao,talitaoliveira/my-dummy-image,talitaoliveira/myclock,talitaoliveira/novo_site_talita,talitaoliveira/olimpiadas_rio,talitaoliveira/site-bootstrap,talitaoliveira/software-interview-prep,talitaoliveira/sublime-text-preferences,talitaoliveira/talitaoliveira.github.io,talitaoliveira/teste-frontend-2017,talitaoliveira/teste-jasmine,talitaoliveira/teste-mail-php,talitaoliveira/to-do-list,talitaoliveira/todolist-restful,talitaoliveira/top-rosa,talitaoliveira/uberHack,talitaoliveira/vacilos"
thiagoh/poker,"paulorec/8bits-parallel-port-manipulation,paulorec/alura-php-mysql-pt2,paulorec/bash-color-variables,paulorec/be-mean-instagram,paulorec/be-mean-instagram-mongodb-exercises,paulorec/bootstrap-boilerplate,paulorec/butter-desktop,paulorec/conversation-simple,paulorec/Mtracker,paulorec/NodeTetrinet,paulorec/pug-java-filter,paulorec/RClass4j,paulorec/react-tryouts,paulorec/space-shooter,paulorec/try-outs-memory-game,paulorec/ui-sortable-header,paulorec/unity-3d-roll-a-ball-game"
"dhsm/middleware-distribuida,dhsm/PRODUCAOACADEMICA-visualizacao-2016-2,nivan/mapWebInfra","dmesquita/arxiv-sanity-preserver,dmesquita/BrazilianDiamonds,dmesquita/categorizar-leis,dmesquita/d3_gantt_like_chart,dmesquita/dash-lollapalooza-brasil-2018,dmesquita/datascience-pizza,dmesquita/dmesquita.github.io,dmesquita/DrQA,dmesquita/easy-deep-learning-with-AllenNLP,dmesquita/engarde,dmesquita/fCC_R3_DataAnalysis,dmesquita/maps,dmesquita/peersquare,dmesquita/reusable_bubble_chart,dmesquita/side_project_tracker,dmesquita/tdcfloripa2017,dmesquita/understanding_pytorch_nn,dmesquita/understanding_tensorflow_nn,dmesquita/waho"
trickstival/code-for-facebook,"ktquez/awesome-vue,ktquez/Inspect,ktquez/ktquez.com,ktquez/laravel-tinymce,ktquez/layout,ktquez/layout-simple,ktquez/pickout,ktquez/responself,ktquez/rollup-to-vue-plugins,ktquez/socialite,ktquez/vue-all-comments,ktquez/vue-bignumber,ktquez/vue-disqus,ktquez/vue-extend-layout,ktquez/vue-guidetour,ktquez/vue-head,ktquez/vue-pickout,ktquez/vue-ua-parser,ktquez/vue2-sentry,ktquez/wp-theme-ktquez"
"agencia-watermelons/meugarcon,henvic/inventory-control,henvic/vehikel,luiztiago/fear-ant,stark-br/dicaswp","guilhermefarias/AndroidCheckList,guilhermefarias/AndroidQuiz,guilhermefarias/cordova-exif,guilhermefarias/CSS-Dice,guilhermefarias/cssreload.js,guilhermefarias/Dark-CMD,guilhermefarias/device-orientation,guilhermefarias/email-boilerplate,guilhermefarias/fear-ant,guilhermefarias/feecbr-app,guilhermefarias/FirefoxOS-basic-app,guilhermefarias/guilhermefarias.com,guilhermefarias/instagram-api,guilhermefarias/isomorphic-boilerplate,guilhermefarias/JavaHibernate,guilhermefarias/JavaJDBC,guilhermefarias/JavaRMI,guilhermefarias/JavaThreads,guilhermefarias/JNoteboard,guilhermefarias/joel-ipsum-sublime-snippet,guilhermefarias/JogoDaVelha,guilhermefarias/jquery.slidefull.js,guilhermefarias/localhost-basic,guilhermefarias/mocha,guilhermefarias/morethings.io,guilhermefarias/MyLocalPass,guilhermefarias/NodeJS-Chat,guilhermefarias/PhonegapAPI,guilhermefarias/popcorn-app,guilhermefarias/popcorn-time.github.io,guilhermefarias/SimpleThumbnail,guilhermefarias/talks,guilhermefarias/teste-front-end-developer,guilhermefarias/todo-ios,guilhermefarias/tracking.js,guilhermefarias/Windows-Bootstrap,guilhermefarias/wtime,guilhermefarias/zepto-br,guilhermefarias/ZoologicoDoTico"
"barkefors/camel-liferay,johnnyhowey/Hackday-Real-Time-Elastic-Search,josianebezerra/liferay-social-ios,liferay-labs-br/snowflake,liferay-mobile/fcm-client,liferay-mobile/liferay-android-sdk,liferay-mobile/liferay-push-android,liferay-mobile/liferay-push-ios,liferay-mobile/liferay-sdk-builder,liferaybrasil/dtx-portal,liferaybrasil/dtx-reader,sgosantos/liferay-social-ios","brunofarache/alloy-ui,brunofarache/docker-liferay-portal-mysql,brunofarache/dotfiles,brunofarache/elasticsearch-hackathon,brunofarache/issue-6-travis-ci,brunofarache/java-apns,brunofarache/later,brunofarache/Lifedroid,brunofarache/liferay-alerts-android,brunofarache/liferay-android-sdk-oauth,brunofarache/liferay-android-sdk-sample,brunofarache/liferay-connector,brunofarache/liferay-docs,brunofarache/liferay-ios-sdk,brunofarache/liferay-ios-sdk-oauth,brunofarache/liferay-ios-sdk-sample,brunofarache/liferay-mobile-sdk,brunofarache/liferay-oauth-android,brunofarache/liferay-plugins,brunofarache/liferay-portal,brunofarache/liferay-sdk-builder-sample,brunofarache/liferay-social-android,brunofarache/liferay-social-ios,brunofarache/liferay-sync-node,brunofarache/pootle-converter,brunofarache/push-notifications-portlet,brunofarache/snowflake,brunofarache/Specs,brunofarache/webgl-lessons,brunofarache/webrtc-app,brunofarache/webrtc-client-yui,brunofarache/webrtc-full-server,brunofarache/y3d"
,"alsmoreira/20181.Y6-RC.6N-ELET,alsmoreira/aging_rsch,alsmoreira/CleverAlgorithms,alsmoreira/comp_arch,alsmoreira/monitor,alsmoreira/one-tools,alsmoreira/sensores,alsmoreira/SoTADS,alsmoreira/sumobot-jr,alsmoreira/tads-tcc-model,alsmoreira/tgcloud,alsmoreira/workload"
"gvc/libertas,jeffp/enumerated_attribute,sergiofontes/bauhausian","lailsonbm/2d_semi_supervised,lailsonbm/ABNT2-Layout,lailsonbm/awesome_nested_fields,lailsonbm/awesome_nested_fields_demo,lailsonbm/contact_manager_app,lailsonbm/dbf,lailsonbm/dpca,lailsonbm/events-demo-app,lailsonbm/foundation,lailsonbm/infostore,lailsonbm/infostore-template,lailsonbm/logfmt-angular,lailsonbm/paper_trail,lailsonbm/pca_reconstruction,lailsonbm/projeto_am,lailsonbm/purrr,lailsonbm/secure_download_app,lailsonbm/simple_xlsx_writer,lailsonbm/sorcery,lailsonbm/time_of_day"
,"lmmenge/lmmenge.github.com,lmmenge/MeSNEmu,lmmenge/Orbit-Dock,lmmenge/RPNR,lmmenge/WatchSpringboard-Prototype"
"leoadb/com-liferay-dynamic-data-mapping,liferay/frontend-training-docs,liferaybrasil/analytics-dashboard,liferaybrasil/dtx-portal","brunobasto/accessibility-activity,brunobasto/alfred-workflows,brunobasto/algorithms,brunobasto/alloy-editor,brunobasto/alloy-font-awesome,brunobasto/alloy-generator,brunobasto/alloy-taglibs,brunobasto/alloy-twitter-bootstrap,brunobasto/alloy-ui,brunobasto/alloyui.com,brunobasto/api.js,brunobasto/ATtinyCore,brunobasto/avrcurtain,brunobasto/avrgirl-arduino,brunobasto/babel-plugin-yui3,brunobasto/babel-preset-metal-resolve-source,brunobasto/carcentral,brunobasto/cdt,brunobasto/chrome-bookmarks,brunobasto/clay-portal-migration,brunobasto/closure-templates,brunobasto/com-liferay-analytics,brunobasto/com-liferay-dynamic-data-mapping,brunobasto/com-liferay-journal,brunobasto/customelements.io,brunobasto/devcon-soy-workshop,brunobasto/doma,brunobasto/dotfiles,brunobasto/ebnf-validator,brunobasto/esp8266-frankenstein,brunobasto/firephoto,brunobasto/forms-dashboard,brunobasto/gh,brunobasto/git-hooks,brunobasto/gulp-metal,brunobasto/hackaday_library,brunobasto/html2incdom,brunobasto/imaginary,brunobasto/incremental-dom,brunobasto/iteach,brunobasto/jest-liferay-resolver,brunobasto/js-test-examples,brunobasto/karma-replacer-preprocessor,brunobasto/karma-transform-path-preprocessor,brunobasto/kcode,brunobasto/kite-carousel,brunobasto/ledwall,brunobasto/lfr-module-config-generator,brunobasto/liferay-7-workspace,brunobasto/liferay-amd-loader,brunobasto/liferay-app,brunobasto/liferay-benchmark-extension,brunobasto/liferay-docs,brunobasto/liferay-faces,brunobasto/liferay-forms-gulp-tasks,brunobasto/liferay-forms-ui-tests,brunobasto/liferay-karma-alloy-config,brunobasto/liferay-plugins,brunobasto/liferay-portal,brunobasto/liferay-soy-perf,brunobasto/liferay-tech-talks,brunobasto/liferay-watch,brunobasto/liferay_fi_spa_exercise,brunobasto/LiquidMaker,brunobasto/Marlin,brunobasto/metal-ajax,brunobasto/metal-apollo,brunobasto/metal-clay-components,brunobasto/metal-cli,brunobasto/metal-components,brunobasto/metal-dropdown,brunobasto/metal-handlebars,brunobasto/metal-issue,brunobasto/metal-layout,brunobasto/metal-mustache,brunobasto/metal-perf,brunobasto/metal-popover,brunobasto/metal-portlethub,brunobasto/metal-router,brunobasto/metal-tools-build-amd,brunobasto/metal-tools-build-globals,brunobasto/metal-tools-build-rollup,brunobasto/metal-tooltip,brunobasto/metal-uri,brunobasto/metal-usb,brunobasto/metal.js,brunobasto/node-properties-util,brunobasto/node-watermark,brunobasto/poli-compilers,brunobasto/poli-data-structures,brunobasto/poli-projeto-lpoo,brunobasto/poli-query-language,brunobasto/R2,brunobasto/rc_car,brunobasto/react-js,brunobasto/RepRap-XY,brunobasto/reviews,brunobasto/senna.js,brunobasto/sennajs.com,brunobasto/soyutils-nogoog,brunobasto/steel-components,brunobasto/SublimeJSCoverage,brunobasto/svg-sprite,brunobasto/test,brunobasto/test-features,brunobasto/test-incremental-dom,brunobasto/tracking.js,brunobasto/trackingjs.com,brunobasto/ts2c,brunobasto/ui-regression,brunobasto/upverter-to-macrofab,brunobasto/usability-demos,brunobasto/wmu,brunobasto/www-workspace,brunobasto/You-Dont-Know-JS,brunobasto/yui3"
